id,courseId,title,description,totalPoints,publishedAt,dueAt,createdAt,updatedAt
16f7052e-1828-4921-9571-6ea2c20dbeb4,4c4d62b2-58f0-45ca-96ff-f08529488583,Project 4: Data Analysis,"Maiores sortitus utilis. Sublime xiphias curtus admiratio texo quisquam. Adipisci animus officiis abduco recusandae denique cogo tubineus.
Defleo aliquid umerus illo video arbor nulla. Alveus solus alioqui voro atque ubi auctus usitas viduo. Amitto desolo delicate verbum.",250,2025-08-15 22:25:38.561,2025-10-10 03:39:21.847,2025-09-18 17:12:53.076,2025-09-18 17:12:53.076
3557e1d6-e568-4472-bf54-d69ab0ffa618,0cb6104b-b2ed-4beb-995c-bd3e25af3683,Project 2: System Architecture,"Demum commodo perspiciatis. Vespillo curtus eos calculus callide usus vorax libero sufficio tristis. Administratio turbo tepesco magnam voluptatibus est aqua censura sed.
Sui spero amplitudo coruscus ambitus averto cado corona distinctio nesciunt. Coadunatio caries in concido aestus. Verbera timidus dedico.",150,2025-08-17 14:41:43.395,2025-10-24 23:37:27.556,2025-09-18 17:12:53.882,2025-09-18 17:12:53.882
37d39ea9-ec3f-4c72-8d90-85e1f8587c3d,0cb6104b-b2ed-4beb-995c-bd3e25af3683,Lab 4: Testing,"Similique error subseco coniecto strenuus via solitudo. Pectus super reiciendis. Perferendis reiciendis callide.
Suus damno tempora admiratio. Crebro tantillus tutamen consuasor cruciamentum nesciunt utrum versus infit. Arbustum ipsa caveo capitulus ascit expedita pax compono ago apparatus.",200,2025-08-13 07:56:01.696,2025-10-07 16:23:37.107,2025-09-18 17:12:54.413,2025-09-18 17:12:54.413
3ff659ee-fe60-448d-b80c-a790f0a5db44,c17cd0a1-9e27-4750-8123-c91c584a1a8f,Assignment 2: Algorithms,"Sumptus amita tabula claustrum surculus voluptatum pecco uberrime possimus illum. Bene admoneo validus nisi cognomen callide ventito audax tremo peccatus. Attollo sopor adstringo urbs.
Absorbeo attero somnus amplitudo dolorem animus defessus capto. Appono vinitor amaritudo venio tero. Clamo tot quis ancilla absum certus impedit.",250,2025-08-18 04:54:33.371,2025-10-24 23:30:25.987,2025-09-18 17:12:56.01,2025-09-18 17:12:56.01
455ed20d-f5a1-4b13-bad2-7492364b6406,f61f1233-dd8d-45fe-b539-c33e5e340f10,Project 2: Full-Stack Application,"Conduco corroboro soleo apud. Comparo adeo vorago cura vinitor socius. Voluptas magnam verecundia.
Adamo cur cariosus adduco ipsam. Celebrer desolo deleniti aiunt delectus stultus. Illo alias coma celo benevolentia a sublime.",150,2025-09-06 00:37:05.614,2025-10-24 22:33:05.185,2025-09-18 17:12:54.937,2025-09-18 17:12:54.937
4df91091-8fef-4de7-94cf-138866f44a70,8e489565-f739-4e85-b0f2-91892646870f,Lab 3: Testing,"Asper denuo vigor minima. Aeneus capitulus arto ventosus desparatus cometes curvo deorsum creber. Arca admitto terga impedit cogito vis arcus.
Cunctatio laborum tui centum. Vito ustulo ater tempora defendo porro curtus ulterius. Depono dignissimos suppellex ea vinco arca confido casus inventore comis.",200,2025-09-02 06:59:02.613,2025-10-21 07:43:01.662,2025-09-18 17:12:52.036,2025-09-18 17:12:52.036
649ddb34-f60c-4e83-ae29-3f42fdf92afc,8e489565-f739-4e85-b0f2-91892646870f,Project 2: Full-Stack Application,"Nihil cuppedia attollo cunabula virga ascisco. Damnatio comparo utrimque defaeco degenero volo utique temptatio adipiscor. Atavus acies suffragium atque adeptio cattus calamitas ater textus.
Utrum textilis magni adeo sumptus repellat varietas libero minima vulticulus. Universe uxor ventosus curvo spero pel valeo volutabrum ducimus tergo. Vado supellex mollitia capio arma animadverto varius.",200,2025-09-16 13:07:09.796,2025-10-08 06:22:12.121,2025-09-18 17:12:51.78,2025-09-18 17:12:51.78
7781e52f-30a6-4c5e-a60d-0a9b558e2973,0cb6104b-b2ed-4beb-995c-bd3e25af3683,Assignment 1: Algorithms,"Vomica perspiciatis creo cohaero peior solutio terror thermae utique. Corrumpo abundans tersus beatae fugit voluptas volubilis cado. Baiulus statim crapula ter amaritudo abstergo depraedor patior pel.
Communis tendo nesciunt aperte copia texo chirographum viscus amplitudo autus. Deleniti defero thymbra cotidie. Consuasor aduro vulnus cohaero uter arceo arbustum veritatis conservo.",250,2025-09-18 11:44:26.055,2025-10-24 21:04:21.545,2025-09-18 17:12:53.617,2025-09-18 17:12:53.617
90bdaf0f-90b5-4a6a-8fbe-a9f53fdaa6e3,4c4d62b2-58f0-45ca-96ff-f08529488583,Project 3: Full-Stack Application,"Derelinquo sequi vito sperno summisse tabella audacia comes desparatus sum. Adipisci conventus facere degero toties dedecor. Cado conor attollo adnuo cunabula victoria.
Ambulo sonitus facilis venio abeo esse voluptatem. Decipio ver soleo vociferor praesentium atavus excepturi utor apud. Denuncio ascit angulus capio aestivus umbra blanditiis ocer verbera.",100,2025-09-04 16:28:06.465,2025-10-10 10:27:36.055,2025-09-18 17:12:52.828,2025-09-18 17:12:52.828
961c935c-b183-4660-beb3-0a38a313a0ae,4c4d62b2-58f0-45ca-96ff-f08529488583,Lab 5: Documentation,"Maxime curriculum delibero vobis cicuta vigor aqua. Vereor thorax creator textor conservo atrocitas. Aedificium cilicium ulciscor communis.
Sonitus vos nulla cupiditas patria taceo tamquam cedo. Supellex adaugeo eaque dicta venia sapiente. Vulnus atrox conservo coepi.",150,2025-08-21 08:20:48.122,2025-09-26 03:42:47.582,2025-09-18 17:12:53.344,2025-09-18 17:12:53.344
98796371-d50b-4f0c-8194-95a0b6cdab24,f61f1233-dd8d-45fe-b539-c33e5e340f10,Project 1: Algorithm Implementation,"Addo argentum comparo taceo. Adinventitias tantillus molestias suspendo temeritas traho tempora. Tersus speculum subito victoria.
Aranea dolore sui molestias vacuus. Patria acsi possimus utroque. Tutamen velociter consuasor antea molestiae.",200,2025-09-14 20:22:53.815,2025-10-02 12:16:00.683,2025-09-18 17:12:54.682,2025-09-18 17:12:54.682
994d92fa-1432-4582-9914-e62c2ef187fe,f61f1233-dd8d-45fe-b539-c33e5e340f10,Lab 3: Documentation,"Sonitus vilitas soluta pel vester. Eius alo civitas numquam contabesco velit sed. Cinis vorago contra tripudio victoria pel adstringo nostrum appono defetiscor.
Approbo admoneo desipio aperiam trepide quibusdam tergum desidero cernuus acerbitas. Terminatio defessus degenero chirographum quia. Corona advenio currus minima aveho vestigium.",100,2025-09-12 00:38:50.545,2025-10-21 17:25:27.606,2025-09-18 17:12:55.215,2025-09-18 17:12:55.215
9a750f17-b405-4777-a099-e56f2f28b1b5,4c4d62b2-58f0-45ca-96ff-f08529488583,Assignment 2: Web Development,"Defero annus torqueo recusandae defetiscor tremo combibo absque tres tredecim. Titulus video convoco tripudio apparatus circumvenio defero. Cenaculum crinis arbor ab cupiditate.
Ut saepe vulnero umquam ubi tubineus auxilium crebro. Cupiditate earum tredecim ocer tamisium somnus tolero adflicto non. Umerus conforto perspiciatis testimonium.",150,2025-09-13 03:16:28.087,2025-10-06 13:59:59.439,2025-09-18 17:12:52.566,2025-09-18 17:12:52.566
b318906e-9be2-474e-8fd0-ed5699873db0,c17cd0a1-9e27-4750-8123-c91c584a1a8f,Project 3: Full-Stack Application,"Titulus perspiciatis colo approbo pauci thesis tracto debilito. Vere artificiose deficio. Voluntarius credo canonicus ustulo teneo tenax alienus.
Sit aro vereor vesica beatae appositus attero thesis. Demoror id vulpes odit venia depraedor balbus aestus vorax. Veniam villa vetus bellicus denique sollicito.",150,2025-08-22 13:41:52.326,2025-09-25 23:44:36.479,2025-09-18 17:12:56.283,2025-09-18 17:12:56.283
b6c685e5-2b83-4554-a3bc-03f799e73c37,8e489565-f739-4e85-b0f2-91892646870f,Assignment 1: Web Development,"Caries accedo despecto occaecati cerno antea. Tamdiu beatus vae thorax caecus harum teneo incidunt. Cupressus verbera turpis facere argentum condico cuppedia.
Canto blandior custodia tunc doloribus tremo cursus. Cruciamentum solium allatus utpote censura comminor. Cursus adhaero spargo at civitas aegrotatio.",100,2025-08-17 04:06:40.561,2025-09-30 06:08:37.094,2025-09-18 17:12:51.518,2025-09-18 17:12:51.518
c450a362-ca23-42d9-be05-dc2c01cf3c1d,c17cd0a1-9e27-4750-8123-c91c584a1a8f,Assignment 1: Algorithms,"Depereo comis assentator sum. Caste turbo strenuus vulpes vetus sui. Vespillo creator demergo paulatim tendo vestigium tabesco nisi ustilo beatae.
Deprimo cariosus tempora utrum omnis arto vapulus attonbitus. Adficio debeo aer consectetur reiciendis paens. Esse deprimo corroboro temporibus tripudio audeo defaeco confido tamen.",100,2025-08-27 15:57:33.623,2025-10-07 17:28:35.779,2025-09-18 17:12:55.753,2025-09-18 17:12:55.753
d4d2f2d4-ca5c-4184-a327-d4f3ef2905f5,4c4d62b2-58f0-45ca-96ff-f08529488583,Assignment 1: Data Structures,"Tres odio delego. Excepturi subiungo vicissitudo amoveo utrimque defungo. Porro laboriosam error trans cupio.
Conqueror conventus eius valens carcer sumptus conatus adversus. Veniam arbitro degero tunc vinco nulla degusto. Summa cotidie temeritas deinde bardus.",150,2025-08-20 18:44:27.08,2025-10-03 23:58:30.114,2025-09-18 17:12:52.302,2025-09-18 17:12:52.302
d8e76cd2-c9df-4fa2-ba59-bd9708ffda37,f61f1233-dd8d-45fe-b539-c33e5e340f10,Project 4: Data Analysis,"Mollitia absconditus adipiscor tamdiu alii sum creber tracto. Patrocinor vomica vergo viriliter arceo temporibus. Laudantium vado vulticulus clamo cubitum sub baiulus.
Spectaculum tergeo antepono templum quidem laborum sumptus sponte desipio. Timor textor teneo ullam adsidue curto crudelis accusamus termes patrocinor. Vindico conatus corrumpo temptatio synagoga solvo quisquam supra.",100,2025-08-24 03:01:35.358,2025-09-25 02:04:20.905,2025-09-18 17:12:55.501,2025-09-18 17:12:55.501
e333f5a0-4367-4426-8a8c-a86ae3221d68,0cb6104b-b2ed-4beb-995c-bd3e25af3683,Lab 3: Testing,"Adstringo ea argentum tego beatus caries tantillus. Ullus vel aggero. Torqueo caelum coepi ascisco tego cultellus excepturi carpo.
Crustulum tredecim arbitro delibero amitto. Facere sono ante. Tertius virgo subiungo amoveo baiulus.",100,2025-09-18 05:09:30.102,2025-10-18 05:50:59.93,2025-09-18 17:12:54.156,2025-09-18 17:12:54.156
