id,assignmentId,title,prompt,starterCode,language,maxScore,createdAt,updatedAt
0572c43a-153a-4a35-b203-fa7657f1f1cb,16f7052e-1828-4921-9571-6ea2c20dbeb4,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","def isValid(s):
    # Your code here
    pass",C,150,2025-09-18 17:13:01.487,2025-09-18 17:13:01.487
0581dd4a-0766-4702-9722-81de8ac37260,3557e1d6-e568-4472-bf54-d69ab0ffa618,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice.","def twoSum(nums, target):
    # Your code here
    pass",TYPESCRIPT,100,2025-09-18 17:13:03.096,2025-09-18 17:13:03.096
067b3217-8633-43a3-8b6e-ed13881071d7,961c935c-b183-4660-beb3-0a38a313a0ae,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice.","def twoSum(nums, target):
    # Your code here
    pass",C,75,2025-09-18 17:13:02.031,2025-09-18 17:13:02.031
0760ab0a-dad2-42aa-82cb-e7c56d7336f2,d8e76cd2-c9df-4fa2-ba59-bd9708ffda37,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","def isValid(s):
    # Your code here
    pass",TYPESCRIPT,150,2025-09-18 17:13:08.454,2025-09-18 17:13:08.454
1061dfc4-57ef-49d2-9013-cdbc516db951,c450a362-ca23-42d9-be05-dc2c01cf3c1d,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","function isValid(s) {
    // Your code here
}",JAVASCRIPT,75,2025-09-18 17:13:09.798,2025-09-18 17:13:09.798
1543d412-dc5a-4925-8cba-f814cd094a93,b6c685e5-2b83-4554-a3bc-03f799e73c37,Binary Tree Inorder Traversal,"Given the root of a binary tree, return the inorder traversal of its nodes' values.","public List<Integer> inorderTraversal(TreeNode root) {
    // Your code here
    return new ArrayList<>();
}",JAVA,75,2025-09-18 17:12:56.544,2025-09-18 17:12:56.544
163d2322-03e1-49af-8834-9023652fa2aa,37d39ea9-ec3f-4c72-8d90-85e1f8587c3d,Binary Tree Inorder Traversal,"Given the root of a binary tree, return the inorder traversal of its nodes' values.","function inorderTraversal(root) {
    // Your code here
}",JAVASCRIPT,75,2025-09-18 17:13:04.983,2025-09-18 17:13:04.983
1d837fbc-398d-4a6d-a9ca-30b05c5cc64d,c450a362-ca23-42d9-be05-dc2c01cf3c1d,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","def isValid(s):
    # Your code here
    pass",TYPESCRIPT,150,2025-09-18 17:13:09.264,2025-09-18 17:13:09.264
1e055426-e6f8-4458-8235-9d1adc534d1d,d8e76cd2-c9df-4fa2-ba59-bd9708ffda37,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","def isValid(s):
    # Your code here
    pass",CPP,125,2025-09-18 17:13:08.996,2025-09-18 17:13:08.996
208a381e-db3e-458e-a082-53ec0f87488a,3ff659ee-fe60-448d-b80c-a790f0a5db44,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: 1) Open brackets must be closed by the same type of brackets. 2) Open brackets must be closed in the correct order.","def isValid(s):
    # Your code here
    pass",PYTHON,100,2025-09-18 17:13:10.831,2025-09-18 17:13:10.831
